Gene stable ID	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSMUSG00000073679	Mxra8os	155923949	155924635	4
ENSMUSG00000029070	Mxra8	155924137	155928545	4
ENSMUSG00000029442	Wdr66	123390165	123465547	5
ENSMUSG00000035086	Becn1	101176778	101193112	11
ENSMUSG00000118996	AC221015.12	59388596	59388689	7
ENSMUSG00000074881	Mageb3	121784233	121786573	2
ENSMUSG00000033411	Ctdspl2	121786482	121844123	2
ENSMUSG00000094664	Rpl35a-ps6	123393544	123393876	5
ENSMUSG00000087063	Gm15857	123431701	123448387	5
ENSMUSG00000087336	Gm15860	123470789	123482500	5
ENSMUSG00000098926	Mir6904	180414766	180414832	1
ENSMUSG00000029071	Dvl1	155931859	155943760	4
ENSMUSG00000058729	Lin9	180468715	180518259	1
ENSMUSG00000029438	Bcl7a	123481897	123513055	5
ENSMUSG00000030887	Pdzd9	120257954	120269566	7
ENSMUSG00000077649	Gm24989	77135754	77135841	11
ENSMUSG00000104830	5830487J09Rik	123504535	123506982	5
ENSMUSG00000086700	Gm15747	123531712	123536020	5
ENSMUSG00000084152	Gm11617	101197568	101198206	11
ENSMUSG00000078652	Psme3	101207039	101214363	11
ENSMUSG00000038342	Mlxip	123532861	123595995	5
ENSMUSG00000108935	4930588G17Rik	120269519	120275125	7
ENSMUSG00000097343	9030407P20Rik	120272659	120276793	7
ENSMUSG00000046096	Mosmo	120276841	120334077	7
ENSMUSG00000027236	Eif3j1	121859027	121887079	2
ENSMUSG00000108830	Gm44661	120335682	120339184	7
ENSMUSG00000030889	Vwa3a	120338541	120404965	7
ENSMUSG00000029072	Tas1r3	155943725	155947819	4
ENSMUSG00000033396	Spg11	121884001	121948867	2
ENSMUSG00000078651	Aoc2	101215889	101220528	11
ENSMUSG00000029073	Cptp	155949180	155953897	4
ENSMUSG00000019326	Aoc3	101221431	101232764	11
ENSMUSG00000029034	Ints11	155954003	155973560	4
ENSMUSG00000101925	Gm28156	101230486	101238765	11
ENSMUSG00000026497	Mixl1	180520608	180524599	1
ENSMUSG00000083991	Gm11618	101243062	101243965	11
ENSMUSG00000082478	Gm11619	101244135	101244371	11
ENSMUSG00000077587	Gm24376	44412469	44412595	4
ENSMUSG00000118571	Gm52986	101257539	101257689	11
ENSMUSG00000078650	G6pc	101258387	101268729	11
ENSMUSG00000104202	Gm8101	180549179	180549656	1
ENSMUSG00000026499	Acbd3	180553608	180581769	1
ENSMUSG00000106254	Gm42907	123535303	123537450	5
ENSMUSG00000119430	AC141881.11	124297740	124297858	8
ENSMUSG00000104940	Gm42908	123539135	123540004	5
ENSMUSG00000009741	Ubp1	113760002	113806270	9
ENSMUSG00000106636	Gm43813	123544550	123549927	5
ENSMUSG00000082532	Rpl31-ps6	123604572	123604949	5
ENSMUSG00000029437	Il31	123618220	123627552	5
ENSMUSG00000097239	Gm27029	101297490	101315622	11
ENSMUSG00000103649	Gm37768	180570775	180583401	1
ENSMUSG00000103156	Gm38293	180591062	180596221	1
ENSMUSG00000060743	H3f3a	180628397	180641508	1
ENSMUSG00000063409	Lrrc43	123627368	123646268	5
ENSMUSG00000075528	Aarsd1	101297665	101308441	11
ENSMUSG00000027233	Patl2	121950589	122016670	2
ENSMUSG00000109392	Gm5737	120411588	120430416	7
ENSMUSG00000060802	B2m	121978167	121983564	2
ENSMUSG00000035064	Eef2k	120442054	120506673	7
ENSMUSG00000097487	Ptges3l	101309638	101316159	11
ENSMUSG00000033368	Trim69	121991181	122009508	2
ENSMUSG00000051557	Pusl1	155972336	155976238	4
ENSMUSG00000073485	H3f3aos	180641341	180644424	1
ENSMUSG00000119089	AC107703.1	12750040	12750146	12
ENSMUSG00000038806	Sde2	180678692	180695678	1
ENSMUSG00000027229	Terb2	122016753	122036878	2
ENSMUSG00000098600	Mir6929	101310013	101310079	11
ENSMUSG00000035007	Rundc1	101315911	101326499	11
ENSMUSG00000103979	Gm20305	180681847	180682023	1
ENSMUSG00000082670	Gm14050	122038401	122038746	2
ENSMUSG00000079966	Gm14058	122045101	122045835	2
ENSMUSG00000104251	Gm18036	180702443	180702891	1
ENSMUSG00000070692	Rps12-ps10	122050474	122050872	2
ENSMUSG00000027227	Sord	122065230	122095821	2
ENSMUSG00000063316	Rpl27	101333124	101336355	11
ENSMUSG00000086753	Gm15751	123646458	123652074	5
ENSMUSG00000066652	Lefty2	180720673	180726668	1
ENSMUSG00000029433	Diablo	123647828	123662239	5
ENSMUSG00000029033	Acap3	155976279	155991708	4
ENSMUSG00000026520	Pycr2	180731858	180735653	1
ENSMUSG00000032507	Fbxl2	113792705	113875259	9
ENSMUSG00000068452	Duox2	122109728	122128930	2
ENSMUSG00000010358	Ifi35	101339233	101349524	11
ENSMUSG00000086347	Gm11626	101347402	101348216	11
ENSMUSG00000034993	Vat1	101349571	101357056	11
ENSMUSG00000038793	Lefty1	180762587	180765965	1
ENSMUSG00000026519	Tmem63a	180769909	180802677	1
ENSMUSG00000001313	Rnd2	101355825	101362679	11
ENSMUSG00000027225	Duoxa2	122129381	122133366	2
ENSMUSG00000029431	B3gnt4	123648523	123649945	5
ENSMUSG00000114278	Gm49027	123650145	123663551	5
ENSMUSG00000085118	Gm15774	120464732	120474521	7
ENSMUSG00000111793	Gm47950	113799052	113800066	9
ENSMUSG00000109337	Gm45047	120489928	120490236	7
ENSMUSG00000086596	Susd5	113886208	113927796	9
ENSMUSG00000030880	Polr3e	120516967	120546655	7
ENSMUSG00000077221	Snord67	91426415	91426525	2
ENSMUSG00000027224	Duoxa1	122132672	122144211	2
ENSMUSG00000118582	Gm52983	113945691	113945745	9
ENSMUSG00000111734	Gm29825	113947156	114021708	9
ENSMUSG00000098951	Mir7647	123660700	123660758	5
ENSMUSG00000029434	Vps33a	123666722	123711101	5
ENSMUSG00000080839	Gm11625	101367052	101367347	11
ENSMUSG00000017146	Brca1	101379590	101442781	11
ENSMUSG00000118957	BX571775.1	134285664	134285777	X
ENSMUSG00000023286	Ube2j2	156028288	156044061	4
ENSMUSG00000064299	4921528I07Rik	114066765	114146096	9
ENSMUSG00000033268	Duox1	122146153	122178453	2
ENSMUSG00000053820	Bcl2a1c	114159203	114159646	9
ENSMUSG00000074039	4930520O04Rik	114197371	114206297	9
ENSMUSG00000085563	2210411M09Rik	180779629	180785714	1
ENSMUSG00000103930	Gm36961	180803723	180803854	1
ENSMUSG00000032431	Crtap	114204202	114219743	9
ENSMUSG00000038776	Ephx1	180803775	180848469	1
ENSMUSG00000104704	Gm43133	123699588	123700050	5
ENSMUSG00000045594	Glb1	114230144	114303966	9
ENSMUSG00000049550	Clip1	123715858	123822681	5
ENSMUSG00000033256	Shf	122179373	122199643	2
ENSMUSG00000103516	Gm37431	180850228	180850338	1
ENSMUSG00000102858	Gm37086	180853843	180857294	1
ENSMUSG00000017119	Nbr1	101442975	101472777	11
ENSMUSG00000038768	9130409I23Rik	180878802	180888232	1
ENSMUSG00000104390	Gm17967	180880093	180880739	1
ENSMUSG00000103328	Gm37406	180889635	180892040	1
ENSMUSG00000102219	Gm6606	180895161	180904205	1
ENSMUSG00000080577	Gm23226	71913581	71913683	11
ENSMUSG00000023571	C1qtnf12	156046775	156051086	4
ENSMUSG00000027219	Slc28a2	122256958	122291618	2
ENSMUSG00000026516	Nvl	180914703	180971769	1
ENSMUSG00000050796	B3galt6	156073923	156077106	4
ENSMUSG00000029076	Sdf4	156077329	156098067	4
ENSMUSG00000079260	Tmppe	114230173	114236344	9
ENSMUSG00000030878	Cdr2	120556259	120581535	7
ENSMUSG00000047898	Ccr4	114319384	114333984	9
ENSMUSG00000103178	Fgfr3-ps	180918694	180919830	1
ENSMUSG00000062169	Cnih4	180972258	180996559	1
ENSMUSG00000079259	Trim71	114336201	114393437	9
ENSMUSG00000083645	Gm14086	122257675	122257950	2
ENSMUSG00000081219	Bambi-ps1	122297416	122298007	2
ENSMUSG00000079071	Slc28a2b	122315422	122358521	2
ENSMUSG00000097821	C130032M10Rik	114344765	114345669	9
ENSMUSG00000030877	Mfsd13b	120581732	120614010	7
ENSMUSG00000056167	Cnot10	114414946	114469252	9
ENSMUSG00000038733	Wdr26	181000793	181039566	1
ENSMUSG00000027199	Gatm	122424948	122441784	2
ENSMUSG00000058050	Gm9234	120614365	120614856	7
ENSMUSG00000064877	Gm23377	109950748	109950873	9
ENSMUSG00000053358	Gm9905	120632475	120634319	7
ENSMUSG00000029075	Tnfrsf4	156098300	156101069	4
ENSMUSG00000030876	Mettl9	120633668	120677552	7
ENSMUSG00000118663	AEKR01077154.1	122461120	122474750	2
ENSMUSG00000033213	AA467197	122478906	122483111	2
ENSMUSG00000103183	Gm37090	156103013	156107117	4
ENSMUSG00000087381	Gm16008	156106465	156116100	4
ENSMUSG00000109206	Gm45137	120638361	120642775	7
ENSMUSG00000119935	mmu-mir-12182	86743430	86743484	11
ENSMUSG00000108954	Gm44901	120651568	120655544	7
ENSMUSG00000109036	2210406H18Rik	120662075	120663182	7
ENSMUSG00000035004	Igsf6	120663290	120673795	7
ENSMUSG00000041954	Tnfrsf18	156110621	156113352	4
ENSMUSG00000076309	Mir147	122482723	122482801	2
ENSMUSG00000005802	Slc30a4	122523153	122544583	2
ENSMUSG00000087017	4930417H01Rik	122543967	122563376	2
ENSMUSG00000034990	Otoa	120680873	120762320	7
ENSMUSG00000085633	Bloc1s6os	122575210	122580282	2
ENSMUSG00000029074	Ttll10	156119297	156143871	4
ENSMUSG00000005804	Bloc1s6	122580423	122591395	2
ENSMUSG00000054135	A430110L20Rik	181053551	181056063	1
ENSMUSG00000081214	Rpl35a-ps2	181069553	181069885	1
ENSMUSG00000103260	Gm8146	181109611	181111457	1
ENSMUSG00000034947	Tmem106a	101473068	101482614	11
ENSMUSG00000026514	Cnih3	181180193	181288206	1
ENSMUSG00000005803	Sqor	122607157	122651489	2
ENSMUSG00000102276	2900069G24Rik	181208743	181210053	1
ENSMUSG00000089888	Gm16547	181228029	181228321	1
ENSMUSG00000119152	AC151899.1	107719677	107719732	7
ENSMUSG00000111744	Gm7780	114476698	114477103	9
ENSMUSG00000089927	Gm16539	181259288	181259965	1
ENSMUSG00000032435	Dync1li1	114517858	114553370	9
ENSMUSG00000050625	Ccdc121	181337198	181339016	1
ENSMUSG00000047369	Dnah14	181404124	181643339	1
ENSMUSG00000084372	Gm13988	123115844	123116131	2
ENSMUSG00000085486	Gm11634	101484569	101490082	11
ENSMUSG00000108502	Gm9240	120822476	120823217	7
ENSMUSG00000027200	Sema6d	123931889	124509690	2
ENSMUSG00000088961	Gm22089	93736292	93736393	1
ENSMUSG00000086617	Gm11635	101501440	101506782	11
ENSMUSG00000108627	Gm45079	120856582	120895075	7
ENSMUSG00000108697	4930486N12Rik	120857987	120858618	7
ENSMUSG00000108351	Gm36736	120914033	120992324	7
ENSMUSG00000010362	Rdm1	101518021	101526926	11
ENSMUSG00000032434	Cmtm6	114560184	114578412	9
ENSMUSG00000046321	Hs3st2	120991082	121100993	7
ENSMUSG00000108811	4933432K03Rik	121068067	121208557	7
ENSMUSG00000086549	Gm13648	156137172	156144259	4
ENSMUSG00000108409	1700025J12Rik	121189126	121190814	7
ENSMUSG00000065427	Mir429	156138362	156138444	4
ENSMUSG00000063317	Usp31	121241244	121306476	7
ENSMUSG00000032436	Cmtm7	114585904	114610924	9
ENSMUSG00000065400	Mir200a	156139353	156139442	4
ENSMUSG00000065549	Mir200b	156140138	156140207	4
ENSMUSG00000059939	9430015G10Rik	156194439	156211722	4
ENSMUSG00000093562	Gm23090	41213776	41213853	4
ENSMUSG00000104877	Gm42651	123820193	123821531	5
ENSMUSG00000119662	AL603707.1	69560461	69560604	11
ENSMUSG00000087881	Gm22442	69241344	69241487	11
ENSMUSG00000089542	Gm25835	69559678	69559821	11
ENSMUSG00000104694	Gm43797	123822838	123823369	5
ENSMUSG00000034936	Arl4d	101556367	101558658	11
ENSMUSG00000053081	1700069B07Rik	121306298	121307236	7
ENSMUSG00000029427	Zcchc8	123836357	123859163	5
ENSMUSG00000000216	Scnn1g	121333702	121367698	7
ENSMUSG00000034931	Dhx8	101623745	101658184	11
ENSMUSG00000103100	Gm37664	181513995	181517807	1
ENSMUSG00000052724	Gm9888	114609168	114611325	9
ENSMUSG00000041012	Cmtm8	114618413	114673224	9
ENSMUSG00000004880	Lbr	181642900	181670611	1
ENSMUSG00000108410	Gm44740	121436675	121438288	7
ENSMUSG00000030873	Scnn1b	121464261	121517737	7
ENSMUSG00000110404	Rnf223	156214970	156217877	4
ENSMUSG00000050627	Gpd1l	114728409	114763055	9
ENSMUSG00000041936	Agrn	156249747	156281945	4
ENSMUSG00000034951	Cog7	121478586	121580934	7
ENSMUSG00000087781	Gm23168	124092129	124092271	7
ENSMUSG00000056699	Gm5533	181679139	181680754	1
ENSMUSG00000017724	Etv4	101660568	101676197	11
ENSMUSG00000022995	Enah	181723949	181847555	1
ENSMUSG00000040875	Osbpl10	114807637	115061293	9
ENSMUSG00000108511	Gm44987	121580984	121588339	7
ENSMUSG00000030872	Gga2	121585945	121620445	7
ENSMUSG00000029422	Rsrc2	123866489	123887477	5
ENSMUSG00000050621	Rps27rt	114811434	114811807	9
ENSMUSG00000098127	Gm4665	115009472	115015126	9
ENSMUSG00000098191	Gm26962	115024521	115025966	9
ENSMUSG00000097967	Gm27002	115029466	115032943	9
ENSMUSG00000032437	Stt3b	115071649	115139489	9
ENSMUSG00000001493	Meox1	101768336	101785200	11
ENSMUSG00000085594	Gm11551	101777063	101782032	11
ENSMUSG00000082171	Rpl27-ps2	101830327	101830725	11
ENSMUSG00000071818	4930417O22Rik	101843247	101851399	11
ENSMUSG00000001494	Sost	101853284	101857841	11
ENSMUSG00000111564	Stmn1-rs1	115110588	115111049	9
ENSMUSG00000003518	Dusp3	101861969	101877839	11
ENSMUSG00000080409	Mir467h	115210887	115211007	9
ENSMUSG00000084515	Gm22479	118296011	118296132	9
ENSMUSG00000111530	Gm9487	115234217	115234688	9
ENSMUSG00000119853	AC109210.1	39085804	39085868	7
ENSMUSG00000074034	Gm5921	115266768	115267649	9
ENSMUSG00000111398	D330037F02Rik	115494982	115503421	9
ENSMUSG00000030871	Ears2	121636436	121666486	7
ENSMUSG00000110905	Gm48007	115509811	115511331	9
ENSMUSG00000056880	Gadl1	115738523	115905244	9
ENSMUSG00000093467	Gm20659	101861969	101862685	11
ENSMUSG00000010841	Cfap97d1	101875105	101883090	11
ENSMUSG00000030870	Ubfd1	121666398	121681417	7
ENSMUSG00000085496	4930517E11Rik	123965556	123971876	2
ENSMUSG00000086954	4930583P06Rik	124059599	124064251	2
ENSMUSG00000087450	Gm13994	124550575	124553003	2
ENSMUSG00000035183	Slc24a5	124910044	124930597	2
ENSMUSG00000052373	Mpp3	101890478	101919287	11
ENSMUSG00000030869	Ndufab1	121684626	121701109	7
ENSMUSG00000087469	Gm16142	115820024	115830856	9
ENSMUSG00000080848	Gm9385	115869661	115870132	9
ENSMUSG00000027201	Myef2	124926548	124965581	2
ENSMUSG00000032440	Tgfbr2	115913361	116004428	9
ENSMUSG00000035692	Isg15	156283912	156285253	4
ENSMUSG00000078349	AW011738	156287727	156295020	4
ENSMUSG00000078486	Perm1	156300325	156305764	4
ENSMUSG00000108573	Gm44986	121695306	121698134	7
ENSMUSG00000078485	Plekhn1	156305913	156319314	4
ENSMUSG00000044702	Palb2	121706485	121732208	7
ENSMUSG00000029414	Kntc1	123887779	123959656	5
ENSMUSG00000103722	2700078F05Rik	181777697	181780940	1
ENSMUSG00000103317	Gm38359	181795264	181797488	1
ENSMUSG00000087216	E130111B04Rik	101921094	101925910	11
ENSMUSG00000102950	Gm37018	181813901	181817769	1
ENSMUSG00000111243	Gm4668	116018248	116023954	9
ENSMUSG00000102760	Gm37258	181833625	181835251	1
ENSMUSG00000017309	Cd300lg	101932335	101946446	11
ENSMUSG00000111729	Gm48038	116028365	116029680	9
ENSMUSG00000111324	Gm31410	116047870	116078821	9
ENSMUSG00000103379	Gm37177	181898968	181899384	1
ENSMUSG00000110752	D730003K21Rik	116156405	116168579	9
ENSMUSG00000026511	Srp9	181952302	181959972	1
ENSMUSG00000039607	Rbms3	116401814	117701749	9
ENSMUSG00000103018	Gm17968	181954971	181955754	1
ENSMUSG00000091013	Vmn1r1	181982269	181992051	1
ENSMUSG00000098954	Mir7658	156314516	156314572	4
ENSMUSG00000095567	Noc2l	156320376	156332073	4
ENSMUSG00000038633	Degs1	182103337	182110369	1
ENSMUSG00000100147	1700047M11Rik	182115555	182130890	1
ENSMUSG00000047539	Fbxo28	182140667	182169194	1
ENSMUSG00000089631	Gm16326	121730315	121730728	7
ENSMUSG00000030868	Dctn5	121732264	121748267	7
ENSMUSG00000017314	Mpp2	101947841	101979341	11
ENSMUSG00000096351	Samd11	156331423	156340717	4
ENSMUSG00000097260	Gm5706	182220108	182221100	1
ENSMUSG00000073482	Gm10517	182235829	182236586	1
ENSMUSG00000026510	Trp53bp2	182236737	182289997	1
ENSMUSG00000087056	Gm14004	124966276	124976247	2
ENSMUSG00000074872	Ctxn2	124978553	124989761	2
ENSMUSG00000086942	Gm15489	121738231	121758624	7
ENSMUSG00000027202	Slc12a1	124994425	125071922	2
ENSMUSG00000030867	Plk1	121758662	121769096	7
ENSMUSG00000111895	Gm47252	156339561	156340412	4
ENSMUSG00000057021	Vmn2r129	156683398	156691794	4
ENSMUSG00000017316	Ppy	101990756	101992145	11
ENSMUSG00000108688	Gm44985	121766252	121767267	7
ENSMUSG00000026509	Capn2	182294825	182345173	1
ENSMUSG00000030866	Ern2	121769116	121785430	7
ENSMUSG00000096042	Vmn2r125	156696495	156708475	4
ENSMUSG00000045502	Hcar2	124001633	124003562	5
ENSMUSG00000049241	Hcar1	124014799	124018083	5
ENSMUSG00000017311	Pyy	101997502	101998658	11
ENSMUSG00000023106	Denr	124045238	124066898	5
ENSMUSG00000084200	Gm11584	102004075	102004399	11
ENSMUSG00000082045	Gm11585	102014898	102015466	11
ENSMUSG00000048217	Nags	102036339	102040303	11
ENSMUSG00000030865	Chp2	121818719	121822047	7
ENSMUSG00000105875	Gm43518	124065481	124076451	5
ENSMUSG00000061882	Ccdc62	124068742	124107958	5
ENSMUSG00000087339	Gm11586	102036375	102037072	11
ENSMUSG00000020921	Tmem101	102043372	102047230	11
ENSMUSG00000108708	Gm29977	121848525	121849248	7
ENSMUSG00000064476	Gm23405	151049192	151049350	4
ENSMUSG00000052889	Prkcb	121887974	122233625	7
ENSMUSG00000020922	Lsm12	102053323	102076122	11
ENSMUSG00000102234	Gm37885	182311744	182320038	1
ENSMUSG00000104415	Gm37069	182321721	182325862	1
ENSMUSG00000103878	Gm8197	182373815	182383045	1
ENSMUSG00000038599	Capn8	182392572	182459917	1
ENSMUSG00000034793	G6pc3	102080446	102084907	11
ENSMUSG00000000915	Hip1r	124111691	124143621	5
ENSMUSG00000008855	Hdac5	102085258	102120992	11
ENSMUSG00000086416	Gm14002	125049449	125059432	2
ENSMUSG00000027203	Dut	125089110	125100528	2
ENSMUSG00000108752	Gm45191	121912287	121917725	7
ENSMUSG00000108522	Gm44664	121961223	121963008	7
ENSMUSG00000108317	Gm44663	122001678	122004827	7
ENSMUSG00000084230	Gm14388	122041246	122041722	7
ENSMUSG00000108455	Gm44745	122062661	122065383	7
ENSMUSG00000087520	Gm14389	122083403	122083643	7
ENSMUSG00000108341	Gm44746	122190158	122191506	7
ENSMUSG00000066189	Cacng3	122269715	122368616	7
ENSMUSG00000085797	A530010F05Rik	125116484	125119092	2
ENSMUSG00000087682	Gm14003	125124608	125125898	2
ENSMUSG00000027204	Fbn1	125142514	125349913	2
ENSMUSG00000108718	Gm44749	122299514	122301141	7
ENSMUSG00000108529	Gm29759	122437186	122437512	7
ENSMUSG00000030779	Rbbp6	122564909	122601780	7
ENSMUSG00000104376	Gm37516	182507504	182509457	1
ENSMUSG00000102688	Gm37218	182515295	182515793	1
ENSMUSG00000043429	Ccdc185	182574691	182576745	1
ENSMUSG00000038576	Susd4	182591425	182724156	1
ENSMUSG00000098454	Mir7032	124134915	124134993	5
ENSMUSG00000066278	Vps37b	124142704	124170333	5
ENSMUSG00000108452	4930413G21Rik	122568281	122569273	7
ENSMUSG00000108551	Gm20274	122594571	122595154	7
ENSMUSG00000102291	Gm37542	182735275	182738106	1
ENSMUSG00000108396	Gm6905	122609335	122609845	7
ENSMUSG00000079164	Tlr5	182782353	182804010	1
ENSMUSG00000110230	Gm45846	122630597	122768901	7
ENSMUSG00000109814	Gm45847	122630638	122667528	7
ENSMUSG00000053615	Gm9913	125347009	125349801	2
ENSMUSG00000052707	Tnrc6a	122723108	122794519	7
ENSMUSG00000068394	Cep152	125405008	125467033	2
ENSMUSG00000102725	Gm37939	124142711	124144214	5
ENSMUSG00000118780	AC164700.1	29686523	29686629	5
ENSMUSG00000106261	Gm34086	124170424	124214362	5
ENSMUSG00000030768	Disp1	182867830	183003086	1
ENSMUSG00000104818	Gm43661	124173264	124190415	5
ENSMUSG00000029408	Abcb9	124199593	124233861	5
ENSMUSG00000035109	Shc4	125469367	125566068	2
ENSMUSG00000092184	Gm18489	116888226	116888776	9
ENSMUSG00000091337	Eid1	125515015	125516705	2
ENSMUSG00000092516	Gm20397	116894595	116894956	9
ENSMUSG00000079669	Gm17396	117081604	117083764	9
ENSMUSG00000035093	Secisbp2l	125578906	125624790	2
ENSMUSG00000092504	Gm20396	117232047	117233410	9
ENSMUSG00000030769	Slc5a11	122814003	122872476	7
ENSMUSG00000102478	BC085271	182986635	182988121	1
ENSMUSG00000097240	Gm26614	117702212	117710270	9
ENSMUSG00000118599	Fam177b	183048156	183051138	1
ENSMUSG00000032443	Zcwpw2	117705068	117869327	9
ENSMUSG00000046836	Brox	183057916	183078813	1
ENSMUSG00000085433	Gm16001	124249172	124250327	5
ENSMUSG00000023707	Ogfod2	124250360	124253546	5
ENSMUSG00000098863	Mir8101	102120866	102120976	11
ENSMUSG00000034773	Hrob	102139708	102156013	11
ENSMUSG00000039285	Azi2	117869567	117898862	9
ENSMUSG00000027206	Cops2	125672224	125701059	2
ENSMUSG00000030766	Arhgap17	122878441	122969138	7
ENSMUSG00000034768	Asb16	102159569	102170288	11
ENSMUSG00000034757	Tmub2	102175757	102180063	11
ENSMUSG00000042901	Aida	183078134	183106331	1
ENSMUSG00000059995	Atxn7l3	102180126	102187457	11
ENSMUSG00000029404	Arl6ip4	124254152	124256259	5
ENSMUSG00000039163	Cmc1	117893590	117979245	9
ENSMUSG00000027207	Galk2	125701029	125826219	2
ENSMUSG00000097402	Gm17399	117979299	117999444	9
ENSMUSG00000056050	Mia3	183107682	183150894	1
ENSMUSG00000029406	Pitpnm2	124256753	124387823	5
ENSMUSG00000093283	Gm22567	65560540	65560882	18
ENSMUSG00000103968	2610509F24Rik	118231533	118232370	9
ENSMUSG00000098161	Platr11	118233165	118235167	9
ENSMUSG00000111843	4933432G23Rik	118258904	118266116	9
ENSMUSG00000103415	Gm37339	183152417	183152808	1
ENSMUSG00000072258	Taf1a	183170325	183191020	1
ENSMUSG00000032446	Eomes	118307280	118315200	9
ENSMUSG00000104212	Gm37986	183195398	183195780	1
ENSMUSG00000053461	Hhipl2	183199147	183217717	1
ENSMUSG00000104022	Gm37214	183201586	183203121	1
ENSMUSG00000103451	Gm33973	183295709	183296242	1
ENSMUSG00000090533	Gm8214	183413978	183414328	1
ENSMUSG00000103305	Gm34068	183481174	183541943	1
ENSMUSG00000104007	Gm38332	183650327	183650473	1
ENSMUSG00000102743	Gm38108	183660602	183661427	1
ENSMUSG00000110692	Gm33460	118314627	118318167	9
ENSMUSG00000039384	Dusp10	183745499	183807833	1
ENSMUSG00000038708	Golga4	118335335	118411587	9
ENSMUSG00000027209	Fam227b	125825403	125993924	2
ENSMUSG00000020923	Ubtf	102195386	102210568	11
ENSMUSG00000044854	1700056E22Rik	183765227	183766498	1
ENSMUSG00000102682	Gm37223	184090526	184126468	1
ENSMUSG00000102794	Gm37712	184108541	184114638	1
ENSMUSG00000104419	2900092O11Rik	184175177	184175931	1
ENSMUSG00000101574	1700112H15Rik	184260038	184289888	1
ENSMUSG00000103308	Gm37800	184342477	184361670	1
ENSMUSG00000102606	Rpl21-ps1	184349445	184349924	1
ENSMUSG00000027208	Fgf7	125876578	125933105	2
ENSMUSG00000103314	Gm38358	184427231	184427658	1
ENSMUSG00000092578	4930488B22Rik	184444694	184451186	1
ENSMUSG00000039377	Hlx	184459337	184464816	1
ENSMUSG00000064919	Gm22572	25098635	25098739	2
ENSMUSG00000023330	Dtwd1	125994061	126007199	2
ENSMUSG00000090353	Gm17555	126057020	126058132	2
ENSMUSG00000088525	Gm26085	47699305	47699420	19
ENSMUSG00000102158	Gm34342	184469174	184471717	1
ENSMUSG00000060131	Atp8b4	126162893	126342594	2
ENSMUSG00000026621	Mtarc1	184518964	184543510	1
ENSMUSG00000110627	Gm18935	118400676	118401339	9
ENSMUSG00000110676	Gm45897	118413921	118419263	9
ENSMUSG00000039115	Itga9	118435758	118730071	9
ENSMUSG00000073481	Mtarc2	184545265	184578648	1
ENSMUSG00000030763	Lcmt1	122969007	123029581	7
ENSMUSG00000119127	AC156638.1	83820422	83820528	9
ENSMUSG00000030762	Aqp8	123061514	123067227	7
ENSMUSG00000088559	Mir1981	184554604	184554685	1
ENSMUSG00000084646	Gm24381	149601636	149601739	4
ENSMUSG00000039349	C130074G19Rik	184604123	184615415	1
ENSMUSG00000027359	Slc27a2	126394327	126430163	2
ENSMUSG00000030757	Zkscan2	123074607	123099672	7
ENSMUSG00000026620	Mark1	184628986	184731767	1
ENSMUSG00000089842	Pitpnm2os2	124332970	124338409	5
ENSMUSG00000077761	Gm25214	168723960	168724088	2
ENSMUSG00000098160	Gm26974	123558178	123567990	7
ENSMUSG00000098129	Gm27040	123570269	123582677	7
ENSMUSG00000078591	Hs3st4	123582092	123998212	7
ENSMUSG00000090220	Pitpnm2os1	124367788	124375200	5
ENSMUSG00000027360	Hdc	126435587	126461219	2
ENSMUSG00000085899	Gm15338	123785941	123889493	7
ENSMUSG00000085892	Gm15339	124075764	124093524	7
ENSMUSG00000105759	Gm42425	124375787	124376498	5
ENSMUSG00000086254	3100003L05Rik	124224893	124308158	7
ENSMUSG00000108623	Gm45092	124506832	124513641	7
ENSMUSG00000038126	Mphosph9	124389022	124466035	5
ENSMUSG00000066270	Gm10157	118666681	118667023	9
ENSMUSG00000108407	Gm45093	124666201	124668663	7
ENSMUSG00000102784	Gm38251	184655333	184674697	1
ENSMUSG00000108799	Glud-ps	124674523	124675179	7
ENSMUSG00000086119	Gm2415	118719143	118755523	9
ENSMUSG00000103942	Gm34732	184814935	184818161	1
ENSMUSG00000073844	Gm21957	124818621	124819058	7
ENSMUSG00000103478	4930433J02Rik	184818299	184823516	1
ENSMUSG00000045928	4933440M02Rik	124883197	124948960	7
ENSMUSG00000104461	Gm37662	184824188	184831744	1
ENSMUSG00000104236	4930533L02Rik	124917531	124918690	7
ENSMUSG00000039318	Rab3gap2	184936314	185018956	1
ENSMUSG00000090457	4930571K23Rik	124968033	124970185	7
ENSMUSG00000087041	Gm16295	118753941	118754845	9
ENSMUSG00000108814	Gm30717	125016166	125017286	7
ENSMUSG00000047409	Ctdspl	118755521	118873066	9
ENSMUSG00000030752	Kdm8	125043848	125061441	7
ENSMUSG00000027361	Gabpb1	126469362	126518257	2
ENSMUSG00000030750	Nsmce1	125066812	125090768	7
ENSMUSG00000065513	Mir26a-1	118860864	118860953	9
ENSMUSG00000038775	Vill	118881846	118900593	9
ENSMUSG00000108615	Gm4973	125146441	125147774	7
ENSMUSG00000030748	Il4ra	125151292	125178646	7
ENSMUSG00000105382	Gm43339	124416370	124417975	5
ENSMUSG00000105228	Gm43340	124438547	124439890	5
